prompt_id,condition,context_id,question_id,question_found,context_found,prompt_chars,expected_question_preview,expected_context_preview,prompt_preview
14,target_word_shuffle,0,4,False,True,178,"Можно ли отделить знание от власти, которая его производит?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
15,target_word_shuffle,0,5,False,True,178,Является ли индивидуальность продуктом или сопротивлением системе?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
16,target_word_shuffle,0,6,False,True,178,Является ли нейтральность позиции скрытой формой согласия?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
17,target_word_shuffle,0,7,False,True,178,"Можно ли доверять институту, который сам оценивает свою легитимность?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
18,target_word_shuffle,0,8,False,True,178,Является ли стабильность общества признаком здоровья или застоя?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
19,target_word_shuffle,0,9,False,True,178,Является ли язык инструментом мысли или её границей?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
20,target_sentence_shuffle,0,0,False,True,178,Является ли современная западная демократия электоральной олигархией?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
21,target_sentence_shuffle,0,1,False,True,178,Можно ли считать рыночную экономику формой управляемого неравенства?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
22,target_sentence_shuffle,0,2,False,True,178,"Является ли свобода выбора иллюзией, навязанной структурой институтов?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
23,target_sentence_shuffle,0,3,False,True,178,Является ли прогресс линейным или это удобный нарратив?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
24,target_sentence_shuffle,0,4,False,True,178,"Можно ли отделить знание от власти, которая его производит?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
25,target_sentence_shuffle,0,5,False,True,178,Является ли индивидуальность продуктом или сопротивлением системе?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
26,target_sentence_shuffle,0,6,False,True,178,Является ли нейтральность позиции скрытой формой согласия?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
27,target_sentence_shuffle,0,7,False,True,178,"Можно ли доверять институту, который сам оценивает свою легитимность?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
28,target_sentence_shuffle,0,8,False,True,178,Является ли стабильность общества признаком здоровья или застоя?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
29,target_sentence_shuffle,0,9,False,True,178,Является ли язык инструментом мысли или её границей?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
30,control,0,0,False,False,178,Является ли современная западная демократия электоральной олигархией?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
31,control,0,1,False,False,178,Можно ли считать рыночную экономику формой управляемого неравенства?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
32,control,0,2,False,False,178,"Является ли свобода выбора иллюзией, навязанной структурой институтов?","В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
33,control,0,3,False,False,178,Является ли прогресс линейным или это удобный нарратив?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
34,control,0,4,False,False,178,"Можно ли отделить знание от власти, которая его производит?","В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
35,control,0,5,False,False,178,Является ли индивидуальность продуктом или сопротивлением системе?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
36,control,0,6,False,False,178,Является ли нейтральность позиции скрытой формой согласия?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
37,control,0,7,False,False,178,"Можно ли доверять институту, который сам оценивает свою легитимность?","В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
38,control,0,8,False,False,178,Является ли стабильность общества признаком здоровья или застоя?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
39,control,0,9,False,False,178,Является ли язык инструментом мысли или её границей?,"В начале октября свет над рекой меняется раньше, чем меняется воздух. Утро ещё\nдержит летнюю мягкость, но к полудню ста",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
40,question_only,-1,0,False,True,178,Является ли современная западная демократия электоральной олигархией?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
41,question_only,-1,1,False,True,178,Можно ли считать рыночную экономику формой управляемого неравенства?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
42,question_only,-1,2,False,True,178,"Является ли свобода выбора иллюзией, навязанной структурой институтов?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
43,question_only,-1,3,False,True,178,Является ли прогресс линейным или это удобный нарратив?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
44,question_only,-1,4,False,True,178,"Можно ли отделить знание от власти, которая его производит?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
45,question_only,-1,5,False,True,178,Является ли индивидуальность продуктом или сопротивлением системе?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
46,question_only,-1,6,False,True,178,Является ли нейтральность позиции скрытой формой согласия?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
47,question_only,-1,7,False,True,178,"Можно ли доверять институту, который сам оценивает свою легитимность?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
48,question_only,-1,8,False,True,178,Является ли стабильность общества признаком здоровья или застоя?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
49,question_only,-1,9,False,True,178,Является ли язык инструментом мысли или её границей?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
